               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.044719,            0.033754,            0.021039,             0.64317,             0.59328,             0.63296,             0.36139,            0.040135,            0.019999,            0.012918,            0.007795,            0.007795,            0.007795
                  51,            0.045087,            0.033858,            0.020742,             0.65128,             0.59049,             0.63464,             0.36285,            0.040087,            0.019978,            0.012862,             0.00775,             0.00775,             0.00775
                  52,            0.044787,            0.033664,            0.020576,             0.65213,              0.5913,             0.63587,             0.36556,            0.040027,            0.019952,            0.012752,            0.007705,            0.007705,            0.007705
                  53,            0.044501,            0.033864,            0.020895,             0.64977,             0.59742,             0.63866,             0.36709,            0.039964,            0.019932,            0.012647,             0.00766,             0.00766,             0.00766
                  54,            0.044947,            0.033819,            0.021007,             0.64675,              0.5966,             0.63869,             0.36835,            0.039904,            0.019912,            0.012577,            0.007615,            0.007615,            0.007615
                  55,            0.044439,            0.033576,            0.020418,             0.64134,             0.59948,             0.64024,             0.36916,            0.039853,              0.0199,            0.012521,             0.00757,             0.00757,             0.00757
                  56,            0.044225,            0.033333,            0.020594,             0.64493,             0.59933,             0.64126,             0.37043,            0.039809,            0.019881,            0.012452,            0.007525,            0.007525,            0.007525
                  57,            0.044206,            0.033251,            0.020175,              0.6499,             0.60116,             0.64346,             0.37171,             0.03977,            0.019865,             0.01243,             0.00748,             0.00748,             0.00748
                  58,            0.043905,            0.033197,            0.019894,              0.6529,             0.60111,             0.64459,             0.37332,            0.039731,            0.019847,            0.012387,            0.007435,            0.007435,            0.007435
                  59,            0.044377,            0.033663,            0.019821,             0.65207,             0.60327,              0.6465,             0.37429,            0.039683,            0.019833,            0.012346,             0.00739,             0.00739,             0.00739
                  60,             0.04407,            0.033454,            0.019812,              0.6509,             0.60707,             0.64772,             0.37578,            0.039654,             0.01982,            0.012318,            0.007345,            0.007345,            0.007345
                  61,            0.043767,            0.033266,            0.019601,             0.65479,             0.60707,             0.64942,              0.3769,             0.03962,            0.019806,             0.01229,              0.0073,              0.0073,              0.0073
                  62,            0.043887,             0.03335,            0.019504,             0.65859,             0.60492,             0.65043,             0.37766,            0.039588,            0.019793,            0.012268,            0.007255,            0.007255,            0.007255
                  63,            0.043512,            0.033178,            0.019342,             0.65752,             0.60666,             0.65188,             0.37821,            0.039555,            0.019776,             0.01225,             0.00721,             0.00721,             0.00721
                  64,            0.043759,             0.03321,            0.019219,             0.65978,             0.60864,             0.65361,             0.37951,            0.039529,            0.019763,            0.012223,            0.007165,            0.007165,            0.007165
                  65,            0.043519,            0.033073,            0.019044,             0.65831,             0.61029,             0.65519,             0.38077,            0.039494,             0.01975,            0.012197,             0.00712,             0.00712,             0.00712
                  66,            0.043298,            0.032956,            0.019019,             0.65848,             0.61175,             0.65563,             0.38172,            0.039466,            0.019736,            0.012176,            0.007075,            0.007075,            0.007075
                  67,            0.043283,            0.032924,            0.018957,               0.661,             0.60959,             0.65692,             0.38266,            0.039437,            0.019723,            0.012166,             0.00703,             0.00703,             0.00703
                  68,            0.043315,            0.032995,             0.01889,             0.66243,              0.6079,             0.65821,             0.38387,            0.039403,            0.019709,            0.012147,            0.006985,            0.006985,            0.006985
                  69,            0.043029,            0.032848,            0.018502,             0.67369,             0.59973,             0.65906,             0.38491,             0.03938,            0.019698,            0.012135,             0.00694,             0.00694,             0.00694
                  70,             0.04319,            0.032996,            0.018606,             0.67438,             0.60329,             0.66009,             0.38559,            0.039346,            0.019688,            0.012117,            0.006895,            0.006895,            0.006895
