                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.2115,                 1.7584,                 1.6696,                 0.6496,                0.54556,                0.61222,                0.40459,                 1.2425,                 1.4336,                 1.6862,              0.0007822,              0.0007822,              0.0007822
                     46,                 1.2067,                 1.7396,                 1.6649,                0.65706,                0.54785,                0.61595,                0.40755,                 1.2398,                 1.4276,                 1.6815,             0.00077725,             0.00077725,             0.00077725
                     47,                 1.2034,                 1.7269,                 1.6639,                0.67128,                0.53791,                0.61819,                0.40996,                 1.2356,                 1.4199,                 1.6775,              0.0007723,              0.0007723,              0.0007723
                     48,                 1.2004,                 1.7267,                 1.6586,                0.64496,                 0.5593,                0.61949,                0.41187,                  1.231,                 1.4129,                 1.6732,             0.00076735,             0.00076735,             0.00076735
                     49,                  1.194,                  1.712,                 1.6551,                0.67649,                 0.5452,                0.62066,                0.41351,                 1.2287,                 1.4078,                 1.6707,              0.0007624,              0.0007624,              0.0007624
                     50,                 1.1892,                 1.6899,                 1.6469,                0.67905,                0.54636,                0.62428,                0.41427,                 1.2269,                 1.4025,                 1.6687,             0.00075745,             0.00075745,             0.00075745
                     51,                 1.1854,                 1.6838,                 1.6426,                0.67038,                0.55364,                 0.6245,                0.41636,                 1.2244,                 1.3975,                 1.6663,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.1848,                 1.6753,                  1.642,                0.66092,                0.56464,                0.62648,                0.41785,                 1.2224,                 1.3927,                 1.6641,             0.00074755,             0.00074755,             0.00074755
                     53,                 1.1791,                 1.6679,                 1.6358,                0.66337,                0.56296,                0.62802,                0.41913,                 1.2207,                  1.388,                 1.6618,              0.0007426,              0.0007426,              0.0007426
                     54,                 1.1749,                 1.6509,                 1.6335,                0.67342,                0.55768,                0.62894,                0.42039,                 1.2188,                 1.3837,                 1.6596,             0.00073765,             0.00073765,             0.00073765
                     55,                 1.1699,                  1.644,                 1.6313,                0.67607,                0.56027,                0.63168,                0.42228,                  1.217,                 1.3787,                 1.6576,              0.0007327,              0.0007327,              0.0007327
                     56,                 1.1647,                 1.6348,                 1.6234,                0.67536,                 0.5642,                0.63414,                0.42404,                 1.2151,                 1.3745,                 1.6554,             0.00072775,             0.00072775,             0.00072775
                     57,                 1.1645,                 1.6263,                 1.6245,                0.67461,                0.56813,                0.63562,                 0.4253,                 1.2133,                  1.371,                 1.6533,              0.0007228,              0.0007228,              0.0007228
                     58,                 1.1631,                 1.6178,                 1.6218,                0.67697,                0.57075,                0.63692,                0.42639,                 1.2121,                 1.3667,                 1.6515,             0.00071785,             0.00071785,             0.00071785
                     59,                 1.1578,                 1.6084,                 1.6147,                0.67941,                0.57264,                0.63888,                0.42793,                  1.211,                 1.3631,                   1.65,              0.0007129,              0.0007129,              0.0007129
                     60,                 1.1509,                 1.5994,                 1.6122,                0.67688,                0.57483,                0.63995,                0.42959,                 1.2093,                 1.3594,                 1.6481,             0.00070795,             0.00070795,             0.00070795
                     61,                 1.1519,                 1.5896,                  1.611,                0.67374,                0.57595,                0.64081,                0.43084,                 1.2077,                  1.356,                 1.6465,               0.000703,               0.000703,               0.000703
                     62,                  1.152,                  1.589,                 1.6074,                0.67423,                0.57617,                0.64224,                0.43193,                 1.2066,                 1.3527,                  1.645,             0.00069805,             0.00069805,             0.00069805
